,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,bad_weather,Win_Pr(),Btts_Pr()
271,0,1,0.25,0.3928571428571429,0.26666666666666666,50.0,0.28,2497.0,0.8782539046856227,35.0,4.0,0.11428571428571427,0.42857142857142855,0.0,8.0,0.5333333333333333,4.0,5.0,0.0,0,0.13333333333333333,0.3891050583657587
272,1,1,0.16666666666666666,0.3333333333333333,0.25,25.0,0.12,1060.0,0.6745283018867925,24.0,6.0,0.25,0.36,0.0,29.0,0.6590909090909091,17.0,16.0,0.0,0,0.35714285714285715,0.35335689045936397
273,1,1,0.13793103448275862,0.4137931034482759,0.35714285714285715,55.0,0.18181818181818185,1354.0,0.7887740029542097,38.0,7.0,0.18421052631578946,0.4444444444444444,0.0,15.0,0.7142857142857143,7.0,14.0,0.0,0,0.31746031746031744,0.4347826086956522
274,2,1,0.18181818181818185,0.4545454545454545,0.3,43.0,0.09302325581395347,1113.0,0.784366576819407,47.0,6.0,0.1276595744680851,0.39130434782608703,0.0,12.0,0.4444444444444444,7.0,10.0,0.0,0,0.29850746268656714,0.35714285714285715
275,0,1,0.3125,0.4166666666666667,0.5384615384615384,46.0,0.1956521739130435,2005.0,0.8503740648379052,25.0,5.0,0.2,0.375,0.0,24.0,0.6486486486486487,15.0,11.0,0.0,0,0.16129032258064516,0.3508771929824561
276,1,1,0.28125,0.28125,0.1875,35.0,0.14285714285714285,1802.0,0.8129855715871254,22.0,3.0,0.13636363636363635,0.6666666666666666,0.0,18.0,0.45,12.0,27.0,0.0,0,0.273972602739726,0.4081632653061224
277,1,1,0.2972972972972973,0.4594594594594595,0.2307692307692308,40.0,0.15,1709.0,0.8004681100058514,36.0,8.0,0.2222222222222222,0.4838709677419355,0.0,17.0,0.5862068965517241,7.0,16.0,0.0,0,0.15384615384615385,0.35714285714285715
278,3,1,0.3870967741935484,0.3548387096774194,0.25,40.0,0.125,1390.0,0.7625899280575541,24.0,4.0,0.16666666666666666,0.5,0.0,15.0,0.46875,11.0,21.0,0.0,0,0.28169014084507044,0.35714285714285715
284,0,0,0.3611111111111111,0.4166666666666667,0.35294117647058826,57.0,0.19298245614035087,1876.0,0.8555437100213221,30.0,3.0,0.1,0.2,0.0,16.0,0.5161290322580645,6.0,8.0,0.0,0,0.27027027027027023,0.39525691699604737
288,0,0,0.3220338983050847,0.4406779661016949,0.4583333333333333,35.0,0.17142857142857146,2175.0,0.8501149425287357,30.0,3.0,0.1,0.275,1.0,36.0,0.5806451612903226,17.0,24.0,0.0,0,0.02857142857142857,0.2958579881656805
290,1,0,0.2380952380952381,0.42857142857142855,0.42857142857142855,51.0,0.19607843137254904,1663.0,0.8580877931449188,42.0,9.0,0.21428571428571427,0.4523809523809524,1.0,12.0,0.5217391304347826,7.0,16.0,0.0,0,0.12121212121212122,0.36363636363636365
295,1,0,0.2413793103448276,0.3103448275862069,0.3333333333333333,35.0,0.08571428571428573,1616.0,0.8143564356435643,30.0,3.0,0.1,0.275,1.0,36.0,0.5806451612903226,17.0,24.0,0.0,0,0.07692307692307693,0.3194888178913738
296,3,0,0.2727272727272727,0.4545454545454545,0.8076923076923077,36.0,0.2222222222222222,2225.0,0.8714606741573033,36.0,5.0,0.16666666666666666,0.32,0.0,7.0,0.5384615384615384,4.0,5.0,0.0,0,0.3003003003003003,0.4081632653061224
297,0,0,0.38461538461538464,0.5128205128205128,0.7142857142857143,31.0,0.3225806451612903,2394.0,0.8868003341687553,42.0,9.0,0.21428571428571427,0.4523809523809524,1.0,12.0,0.5217391304347826,7.0,16.0,0.0,1,0.041666666666666664,0.31746031746031744
298,0,0,0.3333333333333333,0.26666666666666666,0.25,45.0,0.3333333333333333,2067.0,0.8626028059990324,31.0,8.0,0.2903225806451613,0.19047619047619047,0.0,25.0,0.625,9.0,15.0,0.0,0,0.125,0.37453183520599254
299,3,0,0.20689655172413796,0.6206896551724138,0.2222222222222222,52.0,0.17307692307692307,1617.0,0.8113790970933829,35.0,5.0,0.14285714285714285,0.5357142857142857,0.0,11.0,0.5789473684210527,6.0,9.0,0.0,0,0.28169014084507044,0.41152263374485604
300,1,0,0.2727272727272727,0.2727272727272727,0.16666666666666666,49.0,0.1020408163265306,1444.0,0.7804709141274239,45.0,8.0,0.17777777777777778,0.25,0.0,23.0,0.6052631578947368,16.0,18.0,0.0,0,0.2898550724637681,0.3508771929824561
301,3,0,0.2307692307692308,0.3461538461538461,0.125,39.0,0.28205128205128205,1313.0,0.7585681645087585,32.0,5.0,0.15625,0.5,0.0,19.0,0.6785714285714286,11.0,16.0,0.0,0,0.4672897196261683,0.3246753246753247
302,2,0,0.19444444444444445,0.4444444444444444,0.15384615384615385,49.0,0.3673469387755102,2287.0,0.8727590730214254,41.0,5.0,0.14634146341463414,0.5714285714285714,0.0,23.0,0.5348837209302325,12.0,22.0,0.0,0,0.23255813953488372,0.4166666666666667
303,0,0,0.2894736842105263,0.3157894736842105,0.125,38.0,0.13157894736842105,1584.0,0.8080808080808081,25.0,7.0,0.36,0.3636363636363637,0.0,18.0,0.5625,6.0,13.0,0.0,0,0.21052631578947367,0.3508771929824561
304,0,0,0.3461538461538461,0.19230769230769232,0.16666666666666666,36.0,0.1111111111111111,1470.0,0.8115646258503402,29.0,4.0,0.13793103448275862,0.2,0.0,16.0,0.4848484848484849,8.0,12.0,0.0,0,0.3436426116838488,0.3472222222222222
305,2,0,0.3448275862068966,0.3103448275862069,0.3,37.0,0.16216216216216214,1420.0,0.8056338028169014,34.0,6.0,0.17647058823529413,0.4411764705882353,1.0,11.0,0.5,5.0,5.0,0.0,0,0.4444444444444444,0.35335689045936397
306,1,0,0.2307692307692308,0.3461538461538461,0.6666666666666666,41.0,0.36585365853658536,2089.0,0.861656294877932,23.0,3.0,0.13043478260869565,0.5277777777777778,0.0,26.0,0.65,13.0,19.0,0.0,0,0.05555555555555555,0.3194888178913738
