,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
332,2021628,50147,19,6,13,2,4,13,2,1
333,2021628,52682,10,0,10,6,4,0,0,0
334,2021629,50074,11,4,7,2,7,2,0,0
335,2021629,52747,16,0,16,5,8,3,0,0
336,2021630,50037,8,4,4,1,5,1,0,0
337,2021630,50050,10,4,6,1,4,5,0,0
338,2021631,60609,16,6,10,1,3,12,0,0
339,2021631,50124,15,0,15,4,5,6,0,1
340,2021632,52914,8,1,7,0,4,4,2,2
341,2021632,50137,12,2,10,2,10,0,0,0
342,2021633,50139,21,3,18,6,9,6,2,2
343,2021633,50149,19,1,18,5,6,8,2,3
344,2021634,50080,15,1,14,3,12,0,2,0
345,2021634,2610,8,0,8,0,7,1,1,1
346,2021635,59856,14,0,14,1,6,7,1,2
347,2021635,54266,12,1,11,2,8,2,1,1
348,2021636,52682,12,3,9,5,6,1,0,0
349,2021636,50147,16,3,13,2,10,4,0,0
350,2021637,52747,10,0,10,3,3,4,0,0
351,2021637,50074,15,2,13,2,9,4,1,1
352,2021638,50050,11,2,9,1,6,4,1,1
353,2021638,50037,14,3,11,7,5,2,0,0
354,2021639,50124,13,0,13,2,10,1,1,1
355,2021639,60609,15,1,14,3,4,8,0,0
356,2021640,50137,12,2,10,2,6,4,0,1
357,2021640,52914,7,2,5,1,3,3,0,1
358,2021641,50149,13,4,9,2,5,5,0,4
359,2021641,50139,18,2,16,2,13,3,0,1
360,2021642,2610,16,7,9,2,4,10,1,1
361,2021642,50080,9,0,9,4,4,1,0,0
362,2021643,52714,13,1,12,6,2,5,1,0
363,2021643,50068,12,5,7,2,4,6,1,1
364,2021644,7889,8,0,8,0,7,1,2,2
365,2021644,57490,7,0,7,2,0,5,0,0
366,2021645,50136,12,1,11,3,7,1,1,1
367,2021645,52919,13,6,7,1,8,4,1,1
368,2021646,52707,17,1,16,3,7,7,1,1
369,2021646,52749,14,2,12,6,6,2,1,1
370,2021647,50157,22,5,17,2,8,13,3,3
371,2021647,50023,19,3,16,0,6,13,5,6
372,2021648,50064,24,2,22,1,10,13,1,2
373,2021648,2603790,20,1,19,5,8,7,1,1
374,2021649,52758,14,0,14,5,8,1,2,1
375,2021649,50118,10,1,9,1,3,6,0,0
376,2021650,1652,8,3,5,3,3,2,1,1
377,2021650,50051,15,0,15,4,7,4,3,1
378,2021651,50068,15,2,13,2,12,1,3,3
379,2021651,57490,15,3,12,7,4,4,1,2
380,2021652,52714,19,1,18,9,6,3,3,3
381,2021652,7889,21,11,10,3,5,13,0,1
382,2021653,52919,15,0,15,4,11,0,0,0
383,2021653,52749,14,3,11,2,3,9,0,0
384,2021654,50136,12,1,11,4,6,2,0,0
385,2021654,52707,20,7,13,4,10,6,0,1
386,2021655,50023,24,6,18,3,16,5,3,2
387,2021655,2603790,16,4,12,1,5,10,0,0
388,2021656,50157,19,0,19,3,9,6,4,5
389,2021656,50064,15,1,14,1,5,9,1,1
390,2021657,50118,13,2,11,2,7,4,1,2
391,2021657,50051,12,2,10,6,5,1,1,1
392,2021658,52758,10,3,7,1,6,3,2,2
393,2021658,1652,13,1,12,2,8,3,1,1
394,2021659,54266,16,2,14,1,6,9,1,1
395,2021659,50147,21,3,18,6,12,3,2,2
396,2021660,59856,14,1,13,1,8,5,3,4
397,2021660,52682,7,0,7,1,5,1,0,0
398,2021661,50074,10,3,7,3,3,4,0,0
399,2021661,50037,21,4,17,4,9,8,2,2
400,2021662,52747,7,0,7,4,1,2,2,2
401,2021662,50050,14,5,9,3,7,4,0,0
402,2021663,60609,15,2,13,2,12,1,0,0
403,2021663,52914,4,1,3,0,4,0,0,0
404,2021664,50124,14,1,13,3,8,3,1,1
405,2021664,50137,19,4,15,1,12,6,1,1
406,2021665,50139,14,2,12,3,7,4,2,2
407,2021665,50080,12,0,12,2,7,3,1,1
408,2021666,50149,27,2,25,5,13,9,1,1
409,2021666,2610,14,1,13,1,10,3,2,1
410,2021667,50147,18,3,15,7,7,4,2,2
411,2021667,59856,16,1,15,1,9,6,1,2
412,2021668,52682,13,2,11,3,5,5,0,2
413,2021668,54266,11,0,11,2,5,4,0,0
414,2021669,50037,16,4,12,2,12,2,1,0
415,2021669,52747,20,2,18,6,8,6,1,2
416,2021670,50050,18,6,12,1,10,7,0,0
417,2021670,50074,12,2,10,5,7,0,0,0
418,2021671,52914,15,2,13,5,8,2,1,1
419,2021671,50124,11,1,10,1,7,3,1,1
420,2021672,50137,13,3,10,1,12,0,2,2
421,2021672,60609,8,4,4,0,2,6,0,1
422,2021673,50080,16,2,14,5,8,3,0,1
423,2021673,50149,14,3,11,2,7,5,0,0
424,2021674,2610,17,2,15,4,9,4,1,2
425,2021674,50139,19,2,17,1,16,2,1,1
426,2021675,57490,8,1,7,1,2,5,0,1
427,2021675,52714,10,1,9,4,5,1,2,0
428,2021676,7889,13,2,11,4,7,2,1,1
429,2021676,50068,18,1,17,4,10,4,0,0
430,2021677,52749,20,6,14,5,6,9,0,0
431,2021677,50136,20,2,18,10,6,4,2,3
432,2021678,52707,11,2,9,0,6,5,0,1
433,2021678,52919,8,0,8,3,4,1,0,0
434,2021679,2603790,12,1,11,5,7,0,1,1
435,2021679,50157,18,5,13,4,7,7,1,1
436,2021680,50064,11,0,11,3,5,3,0,0
437,2021680,50023,6,0,6,1,3,2,1,1
438,2021681,50051,8,0,8,3,5,0,0,0
439,2021681,52758,5,2,3,2,2,1,0,0
440,2021682,1652,13,2,11,2,11,0,1,1
